beta,companyName,country,exchange,exchangeShortName,industry,isActivelyTrading,isEtf,lastAnnualDividend,marketCap,price,sector,symbol,volume
0,iPath B Bloomberg Engy Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.21175E+11,51.74,,JJEB,2700
0,iPath B Bloomberg Lvstck Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.12229E+11,47.92,,COWB,500
0,iPath B Bloomberg Tin Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.12135E+11,47.88,,JJTB,0
0,iPath B Bloomberg Cotton Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.11737E+11,47.71,,BALB,2200
0,iPath B Bloomberg Grains Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.11151E+11,47.46,,JJGB,2800
0,iPath B Bloomberg Agltr Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.07451E+11,45.88,,JJAB,500
0,iPath B Bloomberg Nickel Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.07287E+11,45.81,,BJJN,500
0,iPath B Bloomberg Aluminum Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.06467E+11,45.46,,JJUB,100
0,iPath B Bloomberg Softs Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.02697E+11,43.85,,JJSB,100
0,iPath B Bloomberg Prec Mtls Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.01971E+11,43.54,,JJPB,100
0,iPath B Bloomberg Sugar Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.01877E+11,43.5,,SGGB,5900
0,iPath B Bloomberg Indl Mtls Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,1.00261E+11,42.81,,JJMB,100
0,iPath B Bloomberg Copper Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,99638288384,42.5441,,JJCB,200
0,iPath B Bloomberg Coffee Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,97848762368,41.78,,BJO,22300
0,iPath B Bloomberg Platinum Ttl Ret ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,97067704320,41.4465,,PGMB,200
1.521693,"Cheniere Energy, Inc.",US,NYSE American,AMEX,Oil & Gas Midstream,1,0,0,23111206912,100.06,Energy,LNG,1370432
1.051322,"Cheniere Energy Partners, L.P.",US,NYSE American,AMEX,Oil & Gas Midstream,1,0,2.63,19690096640,41.24,Energy,CQP,146052
0,Olo Inc.,US,New York Stock Exchange Arca,AMEX,Software—Application,1,0,0,5098742272,29.31,,OLO,850538
0.392063,Seaboard Corporation,US,NYSE American,AMEX,Conglomerates,1,0,9,4575230976,4216.3,Industrials,SEB,803
0.572306,UBS ETRACS CMCI Energy Total Return ETN,US,New York Stock Exchange Arca,AMEX,,1,0,0,4369320000,8.2964,,UBN,11246047
0.383355,Ladenburg Thalmann Financial Services Inc. 6.50% NT 27,US,NYSE American,AMEX,,1,0,0.406,3814369536,16.7,,LTSL,7833
0.114814,"Globalstar, Inc.",US,NYSE American,AMEX,Telecom Services,1,0,0,3078580992,1.55,Communication Services,GSAT,37375261
1.136507,"Empire State Realty OP, L.P.",US,New York Stock Exchange Arca,AMEX,REIT—Diversified,1,0,0.105,2837649664,10.15,Real Estate,OGCP,858
1.136507,"Empire State Realty OP, L.P.",US,New York Stock Exchange Arca,AMEX,REIT—Diversified,1,0,0.07,2837645312,10.4635,Real Estate,ESBA,7676
1.136507,"Empire State Realty OP, L.P.",US,New York Stock Exchange Arca,AMEX,REIT—Diversified,1,0,0.07,2827605760,10.33,Real Estate,FISK,460
0.685714,Reaves Utility Income Fund,US,NYSE American,AMEX,Asset Management,1,0,1.81,2088431872,33.07,Financial Services,UTG,220747
0.803174,Park National Corporation,US,NYSE American,AMEX,Banks—Regional,1,0,3.28,1834529664,126.93,Financial Services,PRK,33864
2.401682,Ero Copper Corp.,US,New York Stock Exchange Arca,AMEX,Copper,1,0,0,1723386240,18.18,Basic Materials,ERO,14469
0.644444,"Senseonics Holdings, Inc.",US,NYSE American,AMEX,Diagnostics & Research,1,0,0,1694195328,3.3,Healthcare,SENS,12042996
0.460846,Eaton Vance Limited Duration Income Fund,US,NYSE American,AMEX,Asset Management,1,0,1,1554046848,13.34,Financial Services,EVV,406061
0.980423,"Cornerstone Strategic Value Fund, Inc.",US,NYSE American,AMEX,Asset Management,1,0,1.6763,1522984832,13.11,Financial Services,CLM,999724
2.503174,"Northern Oil and Gas, Inc.",US,NYSE American,AMEX,Oil & Gas E&P,1,0,0.075,1206926208,24.62,Energy,NOG,752935
1.397503,Energy Fuels Inc.,US,NYSE American,AMEX,Uranium,1,0,0,1191662336,6.54,Energy,UUUU,4197541
0.838624,Central Securities Corp.,US,NYSE American,AMEX,Asset Management,1,0,0.85,1125600896,42.8,Financial Services,CET,16736
0.659259,Tompkins Financial Corporation,US,NYSE American,AMEX,Banks—Regional,1,0,2.16,1114993920,83,Financial Services,TMP,31061
0.287301,National HealthCare Corporation,US,NYSE American,AMEX,Medical Care Facilities,1,0,2.08,1064200832,68.47,Healthcare,NHC,24146
0.128571,Eaton Vance Municipal Bond Fund,US,NYSE American,AMEX,Asset Management,1,0,0.4984,1002308096,13.17,Financial Services,EIM,120184
0.733333,Chase Corporation,US,NYSE American,AMEX,Specialty Chemicals,1,0,0.8,994628096,102.09,Basic Materials,CCF,14653
2.251851,Uranium Energy Corp.,US,NYSE American,AMEX,Uranium,1,0,0,811703040,3.03,Energy,UEC,6186293
0.94074,"Cornerstone Total Return Fund, Inc.",US,NYSE American,AMEX,Asset Management,1,0,1.6161,798674560,12.74,Financial Services,CRF,521461
2.212169,Contango Oil & Gas Company,US,NYSE American,AMEX,Oil & Gas E&P,1,0,0,774542976,4.54,Energy,MCF,1052613
0.78748,"Brooklyn ImmunoTherapeutics, Inc.",US,NYSE American,AMEX,Biotechnology,1,0,0,637825984,8.67,Communication Services,BTX,1094976
1.13492,"GAMCO Global Gold, Natural Resources & Income Trust",US,NYSE American,AMEX,Asset Management,1,0,0.3,593042432,3.83,Financial Services,GGN,579743
