,beta,companyName,country,exchange,exchangeShortName,industry,isActivelyTrading,isEtf,lastAnnualDividend,marketCap,price,sector,symbol,volume
0,1.202797,Apple Inc.,US,Nasdaq Global Select,NASDAQ,Consumer Electronics,1.0,0.0,0.85,2445808500736.0,142.81,Technology,AAPL,79762242.0
1,0.77893,Microsoft Corporation,US,Nasdaq Global Select,NASDAQ,Software—Infrastructure,1.0,0.0,2.24,2271375523840.0,294.23,Technology,MSFT,23012685.0
2,1.025925,Alphabet Inc.,US,Nasdaq Global Select,NASDAQ,Internet Content & Information,1.0,0.0,0.0,1919137087488.0,2776.95,Communication Services,GOOG,1065637.0
3,1.025925,Alphabet Inc.,US,Nasdaq Global Select,NASDAQ,Internet Content & Information,1.0,0.0,0.0,1915322105856.0,2778.28,Communication Services,GOOGL,1344617.0
4,1.159259,"Amazon.com, Inc.",US,Nasdaq Global Select,NASDAQ,Internet Retail,1.0,0.0,0.0,1761199259648.0,3246.3,Consumer Cyclical,AMZN,3131492.0
5,1.295305,"Facebook, Inc.",US,Nasdaq Global Select,NASDAQ,Internet Content & Information,1.0,0.0,0.0,1045843148800.0,325.45,Communication Services,FB,15307746.0
6,1.995108,"Tesla, Inc.",US,Nasdaq Global Select,NASDAQ,Auto Manufacturers,1.0,0.0,0.0,752759996416.0,791.94,Consumer Cyclical,TSLA,18865885.0
7,0.908465,Berkshire Hathaway Inc.,US,New York Stock Exchange,NYSE,Insurance—Diversified,1.0,0.0,0.0,629623685120.0,423000.0,Financial Services,BRK-A,11.0
8,0.908465,Berkshire Hathaway Inc.,US,New York Stock Exchange,NYSE,Insurance—Diversified,1.0,0.0,0.0,628801470464.0,280.93,Financial Services,BRK-B,4069378.0
9,1.359716,NVIDIA Corporation,US,Nasdaq Global Select,NASDAQ,Semiconductors,1.0,0.0,0.2,549261737984.0,206.95,Technology,NVDA,28623739.0
10,0.97762,Visa Inc.,US,New York Stock Exchange,NYSE,Credit Services,1.0,0.0,1.28,490797268992.0,225.11,Financial Services,V,7617173.0
11,1.043525,Vanguard Total Stock Market Index Fund ETF Shares,US,New York Stock Exchange Arca,AMEX,Closed-End Fund - Equity,1.0,1.0,1.4540000000000002,477434249216.0,224.76,,VTI,3464221.0
12,1.187227,JPMorgan Chase & Co.,US,New York Stock Exchange,NYSE,Banks—Diversified,1.0,0.0,3.6999999999999997,472637276160.0,166.64,Financial Services,JPM,11053426.0
13,0.704694,Johnson & Johnson,US,New York Stock Exchange,NYSE,Drug Manufacturers—General,1.0,0.0,4.14,433714266112.0,160.25,Healthcare,JNJ,5940112.0
14,1.0,SPDR S&P 500 ETF Trust,US,New York Stock Exchange Arca,AMEX,,1.0,1.0,4.234,409183944704.0,434.69,,SPY,72065453.0
15,0.478711,Walmart Inc.,US,New York Stock Exchange,NYSE,Discount Stores,1.0,0.0,2.1900000000000004,402854608896.0,139.53,Consumer Defensive,WMT,7268042.0
16,0.770196,UnitedHealth Group Incorporated,US,New York Stock Exchange,NYSE,Healthcare Plans,1.0,0.0,5.4,392583479296.0,404.99,Healthcare,UNH,2534860.0
17,1.024563,"The Home Depot, Inc.",US,New York Stock Exchange,NYSE,Home Improvement Retail,1.0,0.0,6.449999999999999,354653110272.0,336.97,Consumer Cyclical,HD,3043854.0
18,0.420851,The Procter & Gamble Company,US,New York Stock Exchange,NYSE,Household & Personal Products,1.0,0.0,3.3215000000000003,349459546112.0,142.32,Consumer Defensive,PG,6615312.0
19,1.1291,Mastercard Incorporated,US,New York Stock Exchange,NYSE,Credit Services,1.0,0.0,1.76,341443870720.0,347.15,Financial Services,MA,3794317.0
20,1.551371,Bank of America Corporation,US,New York Stock Exchange,NYSE,Banks—Diversified,1.0,0.0,0.75,341090402304.0,43.78,Financial Services,BAC,48612514.0
21,0.0,MicroSectors Gold Miners 3X Leveraged ETNs,US,NYSEArca,NYSE,,1.0,1.0,0.0,339522191000.0,10.33,,GDXU,389415.0
22,0.0,Impact Shares Sustainable Development Goals Global Equity ETF,US,NYSEArca,NYSE,,1.0,1.0,0.311,339067601000.0,27.6347,,SDGA,673.0
23,1.157065,"PayPal Holdings, Inc.",US,Nasdaq Global Select,NASDAQ,Credit Services,1.0,0.0,0.0,331640471552.0,255.05,Financial Services,PYPL,6035901.0
24,1.196195,The Walt Disney Company,US,New York Stock Exchange,NYSE,Entertainment,1.0,0.0,0.88,331389992960.0,173.52,Consumer Cyclical,DIS,8427543.0
25,0.964497,Adobe Inc.,US,Nasdaq Global Select,NASDAQ,Software—Infrastructure,1.0,0.0,0.0,313490243584.0,573.07,Technology,ADBE,1878503.0
26,0.154206,"STRATS Trust for Goldman Sachs Group Securities, Series 2006-2",US,New York Stock Exchange,NYSE,,1.0,0.0,0.19899999999999998,281484880000.0,21.3,,GJS,767.0
27,0.0,iShares Core S&P 500 ETF,US,New York Stock Exchange Arca,AMEX,,1.0,1.0,2.9210000000000003,278355017728.0,436.34,,IVV,4296812.0
28,1.03604,Comcast Corporation,US,Nasdaq Global Select,NASDAQ,Entertainment,1.0,0.0,0.98,260421861376.0,52.22,Communication Services,CMCSA,14554879.0
29,0.75326,"Netflix, Inc.",US,Nasdaq Global Select,NASDAQ,Entertainment,1.0,0.0,0.0,256559611904.0,627.04,Communication Services,NFLX,3562198.0
30,1.091304,"salesforce.com, inc.",US,New York Stock Exchange,NYSE,Software—Application,1.0,0.0,0.0,252288319488.0,273.75,Technology,CRM,6151915.0
31,0.853804,"NIKE, Inc.",US,New York Stock Exchange,NYSE,Footwear & Accessories,1.0,0.0,1.1,250113982464.0,150.28,Consumer Cyclical,NKE,6106726.0
32,0.673369,Pfizer Inc.,US,New York Stock Exchange,NYSE,Drug Manufacturers—General,1.0,0.0,1.5499999999999998,248025939968.0,42.06,Healthcare,PFE,32961726.0
33,0.894566,"Cisco Systems, Inc.",US,Nasdaq Global Select,NASDAQ,Communication Equipment,1.0,0.0,1.4699999999999998,241992826880.0,54.93,Technology,CSCO,16117371.0
34,0.62937,The Coca-Cola Company,US,New York Stock Exchange,NYSE,Beverages—Non-Alcoholic,1.0,0.0,1.67,238838579200.0,54.23,Consumer Defensive,KO,13643857.0
35,0.795851,Oracle Corporation,US,New York Stock Exchange,NYSE,Software—Infrastructure,1.0,0.0,1.2,238139523072.0,95.29,Technology,ORCL,10988820.0
36,1.419759,Exxon Mobil Corporation,US,New York Stock Exchange,NYSE,Oil & Gas Integrated,1.0,0.0,3.48,235872796672.0,61.56,Energy,XOM,21253157.0
37,0.723809,Danaher Corporation,US,New York Stock Exchange,NYSE,Diagnostics & Research,1.0,0.0,0.81,230882410496.0,298.74,Healthcare,DHR,2044834.0
38,0.455621,Verizon Communications Inc.,US,New York Stock Exchange,NYSE,Telecom Services,1.0,0.0,2.523,225621639168.0,52.18,Communication Services,VZ,15295265.0
39,0.67519,Abbott Laboratories,US,New York Stock Exchange,NYSE,Medical Devices,1.0,0.0,1.71,224722665472.0,116.88,Healthcare,ABT,4600742.0
40,0.592248,Intel Corporation,US,Nasdaq Global Select,NASDAQ,Semiconductors,1.0,0.0,1.373,220599369728.0,53.44,Technology,INTC,20840912.0
41,0.311111,Eli Lilly and Company,US,New York Stock Exchange,NYSE,Drug Manufacturers—General,1.0,0.0,3.29,220013625344.0,233.67,Healthcare,LLY,2590831.0
42,0.725925,Thermo Fisher Scientific Inc.,US,New York Stock Exchange,NYSE,Diagnostics & Research,1.0,0.0,1.0,218906198016.0,578.66,Healthcare,TMO,1182309.0
43,0.618518,"PepsiCo, Inc.",US,Nasdaq Global Select,NASDAQ,Beverages—Non-Alcoholic,1.0,0.0,4.196,214586376192.0,156.24,Consumer Defensive,PEP,4062404.0
44,0.955786,Broadcom Inc.,US,Nasdaq Global Select,NASDAQ,Semiconductors,1.0,0.0,14.4,206991392768.0,492.34,Technology,AVGO,1471181.0
45,0.637566,Costco Wholesale Corporation,US,Nasdaq Global Select,NASDAQ,Discount Stores,1.0,0.0,12.98,203143970816.0,449.7,Consumer Defensive,COST,1732075.0
46,0.0,Vanguard Small-Cap Index Fund ETF Shares,US,New York Stock Exchange Arca,AMEX,,1.0,1.0,1.456,197673517056.0,221.13,,VB,464612.0
47,0.749327,AT&T Inc.,US,New York Stock Exchange,NYSE,Telecom Services,1.0,0.0,2.6,196885495808.0,26.03,Communication Services,T,32725970.0
48,0.0,Direxion Daily Homebuilders & Supplies Bull 3X Shares,US,New York Stock Exchange Arca,AMEX,,1.0,1.0,0.005,191063359000.0,67.85,,NAIL,434237.0
49,1.358624,Wells Fargo & Company,US,New York Stock Exchange,NYSE,Banks—Diversified,1.0,0.0,0.5,189798268928.0,47.28,Financial Services,WFC,26856243.0
50,0.789133,AbbVie Inc.,US,New York Stock Exchange,NYSE,Drug Manufacturers—General,1.0,0.0,5.08,189795139584.0,110.34,Healthcare,ABBV,7201400.0
51,1.300218,Chevron Corporation,US,New York Stock Exchange,NYSE,Oil & Gas Integrated,1.0,0.0,5.26,188266135552.0,107.13,Energy,CVX,10674495.0
52,1.541349,Morgan Stanley,US,New York Stock Exchange,NYSE,Capital Markets,1.0,0.0,1.75,186524778496.0,97.29,Financial Services,MS,8707589.0
53,0.422807,"Merck & Co., Inc.",US,New York Stock Exchange,NYSE,Drug Manufacturers—General,1.0,0.0,2.57023,182059679744.0,79.93,Healthcare,MRK,12935734.0
54,0.604761,McDonald's Corporation,US,New York Stock Exchange,NYSE,Restaurants,1.0,0.0,5.16,181203304448.0,246.58,Consumer Cyclical,MCD,2427684.0
55,1.005458,Texas Instruments Incorporated,US,Nasdaq Global Select,NASDAQ,Semiconductors,1.0,0.0,4.08,180630650880.0,193.37,Technology,TXN,3554989.0
56,1.494149,"Moderna, Inc.",US,Nasdaq Global Select,NASDAQ,Biotechnology,1.0,0.0,0.0,178193563648.0,305.1,Healthcare,MRNA,19725373.0
57,1.064021,"United Parcel Service, Inc.",US,New York Stock Exchange,NYSE,Integrated Freight & Logistics,1.0,0.0,4.07,167091978240.0,181.74,Industrials,UPS,2708682.0
58,0.225396,"NextEra Energy, Inc.",US,New York Stock Exchange,NYSE,Utilities—Regulated Electric,1.0,0.0,1.505,164660314112.0,77.83,Utilities,NEE,6645203.0
59,0.398881,AT&amp;T Inc. 5.35% GLB NTS 66,US,New York Stock Exchange,NYSE,,1.0,0.0,1.002,160862240768.0,26.301,,TBB,60375.0
60,0.548034,"T-Mobile US, Inc.",US,Nasdaq Global Select,NASDAQ,Telecom Services,1.0,0.0,0.0,160713588736.0,117.19,Communication Services,TMUS,4670848.0
61,0.866266,Philip Morris International Inc.,US,New York Stock Exchange,NYSE,Tobacco,1.0,0.0,4.8500000000000005,160171147264.0,95.12,Consumer Defensive,PM,3749692.0
62,1.310043,QUALCOMM Incorporated,US,Nasdaq Global Select,NASDAQ,Semiconductors,1.0,0.0,2.66,156047523840.0,124.94,Technology,QCOM,7080023.0
63,1.025396,Intuit Inc.,US,Nasdaq Global Select,NASDAQ,Software—Application,1.0,0.0,3.13,155505410048.0,525.41,Technology,INTU,1075275.0
64,1.194179,Honeywell International Inc.,US,New York Stock Exchange,NYSE,Specialty Industrial Machinery,1.0,0.0,3.72,151611621376.0,215.29,Industrials,HON,2765042.0
